idx,q10,q50,q90,last,y_abs,delta_true,enter_long,enter_short,roll_q_high,roll_q_low,side,profit
279,-7.7221885,0.33338258,9.480719,28.0,47.330524,19.330524,0,0,,,0,0.0
280,-7.378347,0.3000239,9.068109,28.0,48.715973,20.715973,0,0,,,0,0.0
281,-7.591993,0.2936387,9.272318,30.0,50.670433,20.670433,0,0,,,0,0.0
282,-7.809906,0.30974656,9.463751,31.0,51.364643,20.364643,0,0,,,0,0.0
283,-7.8470387,0.29487106,9.462412,31.0,52.391052,21.391052,0,0,,,0,0.0
284,-7.7903123,0.28820154,9.417293,32.0,52.319714,20.319714,0,0,,,0,0.0
285,-7.408811,0.25269264,9.010931,32.0,51.330597,19.330597,0,0,,,0,0.0
286,-7.3270774,0.30150974,9.025942,32.0,51.868256,19.868256,0,0,,,0,0.0
287,-7.6544423,0.3330224,9.420174,33.0,51.881046,18.881046,0,0,,,0,0.0
288,-7.447218,0.3271333,9.198531,34.0,52.989605,18.989605,0,0,,,0,0.0
289,-7.4848704,0.28909644,9.188097,35.0,52.401142,17.401142,0,0,,,0,0.0
290,-7.7357526,0.3401172,9.541563,34.0,51.786198,17.786198,0,0,,,0,0.0
291,-7.906533,0.3467724,9.740969,33.0,52.25432,19.254318,0,0,,,0,0.0
292,-7.66985,0.3060508,9.375208,34.0,51.8624,17.8624,0,0,,,0,0.0
