idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit,q_hist
35506,-1.015132,1.015132,32.0,27.51595,-4.4840508,0,0,0.0,1.1268517
35507,-1.1362969,1.1362969,32.0,28.0339,-3.9661007,1,-1,3.9661007,1.1268222
35508,-0.9339692,0.9339692,31.0,28.355877,-2.644123,0,0,0.0,1.1268517
35509,-1.1168195,1.1168195,32.0,27.67624,-4.323759,0,0,0.0,1.1268517
35510,-0.65616095,0.65616095,31.0,27.17332,-3.8266792,0,0,0.0,1.1268517
35511,-0.6927263,0.6927263,31.0,26.719965,-4.280035,0,0,0.0,1.1268517
35512,-0.8028398,0.8028398,33.0,26.84761,-6.1523895,0,0,0.0,1.1268517
35513,-0.8677398,0.8677398,34.0,26.496223,-7.5037766,0,0,0.0,1.1268517
35514,-1.020325,1.020325,34.0,27.316046,-6.6839542,0,0,0.0,1.1268517
35515,-1.1364821,1.1364821,34.0,27.44185,-6.5581493,1,-1,6.5581493,1.1268222
35516,-0.9559469,0.9559469,34.0,28.181152,-5.8188477,0,0,0.0,1.1268517
35517,-1.1263692,1.1263692,35.0,28.65342,-6.3465805,0,0,0.0,1.1268517
35518,-0.6570962,0.6570962,34.0,28.174385,-5.825615,0,0,0.0,1.1268517
35519,-0.69849604,0.69849604,32.0,28.982613,-3.0173874,0,0,0.0,1.1268517
35520,-0.813429,0.813429,32.0,29.251938,-2.7480621,0,0,0.0,1.1268517
35521,-0.86663795,0.86663795,32.0,28.737423,-3.262577,0,0,0.0,1.1268517
35522,-1.0243142,1.0243142,32.0,29.100704,-2.8992958,0,0,0.0,1.1268222
35523,-1.1462699,1.1462699,32.0,29.017298,-2.9827023,1,-1,2.9827023,1.1267743
35524,-0.92059666,0.92059666,32.0,28.289541,-3.7104588,0,0,0.0,1.1268222
35525,-1.1126728,1.1126728,32.0,28.504822,-3.4951782,0,0,0.0,1.1268222
35526,-0.6541266,0.6541266,31.0,28.639137,-2.3608627,0,0,0.0,1.1268222
35527,-0.7024057,0.7024057,30.0,29.039045,-0.96095467,0,0,0.0,1.1268222
35528,-0.8187871,0.8187871,31.0,29.17142,-1.8285809,0,0,0.0,1.1268222
35529,-0.84222597,0.84222597,30.0,28.311785,-1.6882153,0,0,0.0,1.1268222
35530,-1.0142369,1.0142369,29.0,27.985579,-1.0144215,0,0,0.0,1.1268222
35531,-1.1467339,1.1467339,30.0,28.738317,-1.2616825,1,-1,1.2616825,1.1267743
35532,-0.94630545,0.94630545,30.0,28.453217,-1.5467834,0,0,0.0,1.1268222
35533,-1.1035843,1.1035843,30.0,28.599276,-1.4007244,0,0,0.0,1.1268222
35534,-0.644871,0.644871,30.0,29.416958,-0.58304214,0,0,0.0,1.1268222
35535,-0.6977609,0.6977609,30.0,29.222776,-0.7772236,0,0,0.0,1.1268222
35536,-0.8170652,0.8170652,31.0,29.754164,-1.2458363,0,0,0.0,1.1268222
35537,-0.85421115,0.85421115,31.0,29.714003,-1.2859974,0,0,0.0,1.1268222
35538,-1.0115668,1.0115668,30.0,29.972729,-0.02727127,0,0,0.0,1.1268222
35539,-1.1466843,1.1466843,30.0,30.44181,0.4418106,1,-1,-0.4418106,1.1268222
35540,-0.9722356,0.9722356,31.0,30.155863,-0.8441372,0,0,0.0,1.1268517
35541,-1.1047045,1.1047045,30.0,30.094154,0.09415436,0,0,-0.0,1.1268517
35542,-0.6714643,0.6714643,30.0,29.605965,-0.39403534,0,0,0.0,1.1268517
35543,-0.68921584,0.68921584,30.0,30.058971,0.058971405,0,0,-0.0,1.1268517
