idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit
92,0.20996152,0.20996152,26.0,27.75357,1.7535706,0,0,0.0
93,0.20956685,0.20956685,26.0,26.981966,0.981966,0,0,0.0
94,0.21147178,0.21147178,26.0,26.533527,0.5335274,0,0,0.0
95,0.21303086,0.21303086,25.0,26.411886,1.4118862,0,0,0.0
96,0.21351816,0.21351816,26.0,28.40656,2.406561,0,0,0.0
97,0.21208434,0.21208434,26.0,28.513678,2.5136776,0,0,0.0
98,0.20918141,0.20918141,26.0,31.083273,5.083273,0,0,0.0
99,0.21070851,0.21070851,26.0,30.227549,4.2275486,0,0,0.0
100,0.20908894,0.20908894,25.0,30.563423,5.563423,0,0,0.0
101,0.2081741,0.2081741,26.0,30.821835,4.8218346,0,0,0.0
102,0.21020238,0.21020238,27.0,30.93803,3.9380302,0,0,0.0
103,0.2122442,0.2122442,28.0,29.915276,1.9152756,0,0,0.0
104,0.21300082,0.21300082,27.0,30.840595,3.8405952,0,0,0.0
105,0.21269803,0.21269803,28.0,29.249577,1.2495766,0,0,0.0
106,0.20979942,0.20979942,28.0,29.739168,1.7391682,0,0,0.0
107,0.2120039,0.2120039,27.0,30.637255,3.6372547,0,0,0.0
108,0.20953043,0.20953043,27.0,28.109417,1.109417,0,0,0.0
109,0.21003999,0.21003999,26.0,26.6237,0.6236992,0,0,0.0
110,0.21119453,0.21119453,26.0,26.804043,0.8040428,0,0,0.0
111,0.21184428,0.21184428,26.0,26.446987,0.44698715,0,0,0.0
112,0.21255352,0.21255352,26.0,25.765553,-0.23444748,0,0,-0.0
113,0.2114691,0.2114691,25.0,27.131445,2.131445,0,0,0.0
114,0.2093199,0.2093199,25.0,26.535343,1.5353432,0,0,0.0
115,0.21150188,0.21150188,24.0,25.632414,1.6324139,0,0,0.0
116,0.20849364,0.20849364,22.0,26.785282,4.785282,0,0,0.0
117,0.2094333,0.2094333,23.0,27.277294,4.277294,0,0,0.0
118,0.20987608,0.20987608,23.0,26.367708,3.3677082,0,0,0.0
119,0.21121173,0.21121173,23.0,25.999758,2.9997578,0,0,0.0
120,0.21154211,0.21154211,23.0,26.614016,3.6140156,0,0,0.0
121,0.21106915,0.21106915,24.0,25.612442,1.612442,0,0,0.0
122,0.20891838,0.20891838,24.0,24.578794,0.5787945,0,0,0.0
123,0.21221806,0.21221806,23.0,24.07589,1.0758896,0,0,0.0
124,0.20872264,0.20872264,23.0,24.983055,1.9830551,0,0,0.0
125,0.21067767,0.21067767,22.0,24.547325,2.5473251,0,0,0.0
126,0.21167628,0.21167628,23.0,25.700193,2.7001934,0,0,0.0
127,0.21260299,0.21260299,23.0,26.428226,3.4282265,0,0,0.0
128,0.21293558,0.21293558,23.0,26.046963,3.0469627,0,0,0.0
129,0.21264742,0.21264742,24.0,26.194626,2.1946259,0,0,0.0
130,0.20961313,0.20961313,24.0,24.84447,0.8444691,0,0,0.0
131,0.21255828,0.21255828,24.0,24.7198,0.71980095,0,0,0.0
132,0.20955105,0.20955105,23.0,26.062696,3.0626965,0,0,0.0
133,0.20995487,0.20995487,24.0,26.43912,2.4391193,0,0,0.0
134,0.21236227,0.21236227,25.0,26.236383,1.2363834,0,0,0.0
135,0.21237372,0.21237372,25.0,25.620914,0.62091446,0,0,0.0
136,0.21185549,0.21185549,25.0,26.207335,1.2073345,0,0,0.0
137,0.21273874,0.21273874,24.0,26.434277,2.4342766,0,0,0.0
138,0.21076722,0.21076722,24.0,26.695715,2.695715,0,0,0.0
139,0.21161263,0.21161263,24.0,26.739288,2.7392883,0,0,0.0
140,0.20922183,0.20922183,24.0,26.220043,2.2200432,0,0,0.0
141,0.21021141,0.21021141,26.0,26.12382,0.12381935,0,0,0.0
142,0.2111726,0.2111726,28.0,26.650932,-1.3490677,0,0,-0.0
143,0.21172903,0.21172903,28.0,27.2198,-0.78019905,0,0,-0.0
144,0.21099852,0.21099852,27.0,27.505447,0.5054474,0,0,0.0
145,0.21164928,0.21164928,27.0,27.054586,0.05458641,0,0,0.0
146,0.21065204,0.21065204,28.0,27.378359,-0.62164116,0,0,-0.0
147,0.21201162,0.21201162,28.0,26.048172,-1.951828,0,0,-0.0
148,0.20860492,0.20860492,31.0,24.584846,-6.4151535,0,0,-0.0
149,0.20913093,0.20913093,31.0,24.588478,-6.411522,0,0,-0.0
150,0.2109615,0.2109615,31.0,24.23384,-6.766159,0,0,-0.0
151,0.21117856,0.21117856,31.0,22.696684,-8.303316,0,0,-0.0
152,0.21033259,0.21033259,32.0,24.42508,-7.5749207,0,0,-0.0
153,0.21050762,0.21050762,31.0,24.763374,-6.2366257,0,0,-0.0
154,0.2093858,0.2093858,31.0,23.712175,-7.2878246,0,0,-0.0
