date,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null,symbol
2020-01-13 13:30:00,8103.9,8107.33,8094.5,8099.97,72.143846,1578922499999.0,584446.12194093,887.0,28.336403,229552.92880093,0.0,BTCUSDT
2020-01-13 13:35:00,8099.28,8099.28,8087.25,8091.0,82.410695,1578922799999.0,666908.93722185,929.0,35.69788,288894.1630051,0.0,BTCUSDT
2020-01-13 13:40:00,8091.06,8091.34,8086.12,8087.83,68.183009,1578923099999.0,551494.57918656,874.0,28.47932,230351.00912236,0.0,BTCUSDT
2020-01-13 13:45:00,8087.86,8089.79,8083.93,8084.37,124.505093,1578923399999.0,1006854.83666154,961.0,42.840821,346467.23906029,0.0,BTCUSDT
2020-01-13 13:50:00,8084.7,8087.93,8077.64,8078.41,103.035788,1578923699999.0,832723.28290551,984.0,43.849538,354353.21974106,0.0,BTCUSDT
2020-01-13 13:55:00,8079.27,8087.65,8078.57,8086.78,102.681423,1578923999999.0,830007.54505567,1064.0,59.836808,483674.64133755,0.0,BTCUSDT
2020-01-13 14:00:00,8087.24,8094.77,8081.77,8094.76,125.495218,1578924299999.0,1015138.97068494,1219.0,85.833054,694327.82423519,0.0,BTCUSDT
2020-01-13 14:05:00,8094.21,8094.77,8087.93,8091.58,79.330135,1578924599999.0,641864.40731343,895.0,37.127499,300420.03315224,0.0,BTCUSDT
2020-01-13 14:10:00,8091.58,8095.0,8088.0,8088.01,84.128092,1578924899999.0,680787.87600602,714.0,30.981563,250713.92732589,0.0,BTCUSDT
2020-01-13 14:15:00,8088.01,8092.71,8077.17,8078.91,76.796235,1578925199999.0,620886.96542803,756.0,32.740148,264716.39427546,0.0,BTCUSDT
2020-01-13 14:20:00,8078.99,8084.52,8078.01,8080.0,128.348602,1578925499999.0,1037139.86346503,1097.0,68.981871,557402.14891474,0.0,BTCUSDT
2020-01-13 14:25:00,8080.0,8082.86,8071.56,8076.13,134.390111,1578925799999.0,1085386.78807542,1288.0,65.127293,525978.80423085,0.0,BTCUSDT
2020-01-13 14:30:00,8075.05,8080.88,8073.0,8075.6,74.277764,1578926099999.0,599903.17320178,987.0,30.364972,245242.68494193,0.0,BTCUSDT
2020-01-13 14:35:00,8076.92,8089.88,8075.21,8084.99,89.908595,1578926399999.0,726706.81509823,1202.0,55.221607,446368.52982221,0.0,BTCUSDT
2020-01-13 14:40:00,8084.99,8089.93,8083.46,8089.51,67.203238,1578926699999.0,543457.9541807,802.0,47.811676,386644.25678785,0.0,BTCUSDT
2020-01-13 14:45:00,8089.93,8090.0,8078.59,8089.98,114.107164,1578926999999.0,922418.55714608,1067.0,48.44868,391628.25155676,0.0,BTCUSDT
2020-01-13 14:50:00,8089.38,8096.76,8088.69,8091.5,75.852116,1578927299999.0,613863.2375201,900.0,44.314784,358644.434086,0.0,BTCUSDT
2020-01-13 14:55:00,8091.5,8091.5,8086.26,8090.0,92.223928,1578927599999.0,746067.20806616,738.0,33.072519,267551.53392277,0.0,BTCUSDT
2020-01-13 15:00:00,8090.0,8103.18,8088.45,8096.27,147.090447,1578927899999.0,1191069.82610859,1168.0,91.956137,744615.38183688,0.0,BTCUSDT
2020-01-13 15:05:00,8096.33,8099.63,8092.82,8092.99,88.977107,1578928199999.0,720290.8046222,756.0,35.711075,289085.59541788,0.0,BTCUSDT
2020-01-13 15:10:00,8092.99,8097.13,8087.59,8088.12,49.126269,1578928499999.0,397552.02305767,711.0,20.26965,164039.76063242,0.0,BTCUSDT
2020-01-13 15:15:00,8087.03,8088.29,8073.0,8081.86,122.533922,1578928799999.0,990015.14340507,1304.0,44.149418,356692.79298119,0.0,BTCUSDT
2020-01-13 15:20:00,8080.85,8084.83,8076.26,8077.01,55.865416,1578929099999.0,451421.80209332,658.0,24.498716,197961.45696562,0.0,BTCUSDT
2020-01-13 15:25:00,8077.0,8082.0,8074.48,8081.68,55.949765,1578929399999.0,452018.46631705,786.0,37.729873,304830.16319021,0.0,BTCUSDT
